time,size
0.0,0.0
1.0,0.768
2.0,0.0
3.0,0.512
4.0,0.288
5.0,0.48
6.0,0.416
7.0,0.8
8.0,0.0
9.0,0.512
10.0,0.0
11.0,43.488
12.0,84.16
13.0,84.672
14.0,84.16
15.0,84.672
16.0,85.056
17.0,84.672
18.0,84.16
19.0,84.672
20.0,84.16
21.0,85.568
22.0,84.16
23.0,84.672
24.0,84.16
25.0,84.672
26.0,85.056
27.0,84.672
28.0,84.16
29.0,84.672
30.0,84.16
31.0,85.568
32.0,84.16
33.0,84.672
34.0,84.16
35.0,84.672
36.0,85.056
37.0,84.672
38.0,84.16
39.0,84.672
40.0,84.16
41.0,85.568
42.0,84.16
43.0,84.672
44.0,84.16
45.0,84.672
46.0,85.056
47.0,84.672
48.0,84.16
49.0,84.672
50.0,84.16
51.0,85.568
52.0,84.16
53.0,84.672
54.0,84.16
55.0,84.672
56.0,85.056
57.0,84.672
58.0,84.16
59.0,84.672
60.0,84.16
61.0,85.568
62.0,84.16
63.0,84.672
64.0,84.16
65.0,84.672
66.0,85.056
67.0,84.672
68.0,84.16
69.0,84.672
70.0,84.16
71.0,85.568
72.0,84.16
73.0,84.672
74.0,84.16
75.0,84.672
76.0,85.056
77.0,84.672
78.0,84.16
79.0,84.672
80.0,84.16
81.0,85.568
82.0,84.16
83.0,84.672
84.0,84.16
85.0,84.672
86.0,85.056
87.0,84.672
88.0,84.16
89.0,84.672
90.0,84.16
91.0,85.888
92.0,85.696
93.0,8.928
94.0,0.0
95.0,67.84
96.0,85.824
97.0,84.672
98.0,84.928
99.0,85.44
100.0,84.928
101.0,88.192
102.0,87.68
103.0,88.512
104.0,85.696
105.0,87.744
106.0,88.128
107.0,88.512
108.0,88.0
109.0,89.28
110.0,88.0
111.0,87.104
112.0,91.072
113.0,90.816
114.0,91.072
115.0,89.28
116.0,90.432
117.0,90.816
118.0,90.304
119.0,90.816
120.0,90.304
121.0,9.824
122.0,0.0
123.0,73.216
124.0,91.84
125.0,92.352
126.0,92.736
127.0,91.584
128.0,91.84
129.0,92.352
130.0,91.84
131.0,92.48
132.0,91.072
133.0,92.352
134.0,91.84
135.0,92.352
136.0,92.736
137.0,92.352
138.0,91.84
139.0,92.352
140.0,91.84
141.0,93.248
142.0,91.84
143.0,92.352
144.0,91.84
145.0,92.352
146.0,92.736
147.0,92.352
148.0,91.84
149.0,92.352
150.0,91.84
151.0,93.248
152.0,91.84
153.0,92.352
154.0,91.84
155.0,92.352
156.0,92.736
157.0,92.352
158.0,91.84
159.0,92.352
160.0,91.84
161.0,56.48
162.0,0.0
163.0,0.48
164.0,0.0
165.0,0.48
166.0,0.864
167.0,0.48
168.0,0.0
169.0,0.48
170.0,0.0
171.0,1.312
172.0,0.0
173.0,0.48
174.0,0.0
175.0,0.48
176.0,0.832
177.0,0.48
178.0,0.0
179.0,0.48
180.0,0.0
